Giornico	Kanton Tessin
Gipf-Oberfrick	Kanton Aargau
Gisikon	Kanton Luzern
Giswil	Kanton Obwalden
Givisiez	Kanton Freiburg
Givrins	Kanton Waadt
Gland	Kanton Waadt
Glarus	Kanton Glarus
Glarus Nord	Kanton Glarus
Glarus Süd	Kanton Glarus
Glattfelden	Kanton Zürich
Gletterens	Kanton Freiburg
Goldach	Kanton St. Gallen
Gollion	Kanton Waadt
Gommiswald	Kanton St. Gallen
Goms	Kanton Wallis
Gondiswil	Kanton Bern
Gonten	Kanton Appenzell Innerrhoden
Gontenschwil	Kanton Aargau
Gordola	Kanton Tessin
Göschenen	Kanton Uri
Gossau	Kanton St. Gallen
Gossau	Kanton Zürich
Gottlieben	Kanton Thurgau
Goumoëns	Kanton Waadt
Graben	Kanton Bern
Grabs	Kanton St. Gallen
Grächen	Kanton Wallis
Grancia	Kanton Tessin
Grancy	Kanton Waadt
Grandcour	Kanton Waadt
Grandevent	Kanton Waadt
Grandfontaine	Kanton Jura
Grandson	Kanton Waadt
Grandval	Kanton Bern
Grandvillard	Kanton Freiburg
Veveyse	Kanton Freiburg
Granges	Kanton Freiburg
Granges-Paccot	Kanton Freiburg
Grangettes	Kanton Freiburg
Gränichen	Kanton Aargau
Gravesano	Kanton Tessin
Greifensee	Kanton Zürich
Grellingen	Kanton Basel-Landschaft
Grenchen	Kanton Solothurn
Greng	Kanton Freiburg
Grengiols	Kanton Wallis
Grens	Kanton Waadt
Greppen	Kanton Luzern
Gretzenbach	Kanton Solothurn
Grimisuat	Kanton Wallis
Grindel	Kanton Solothurn
Grindelwald	Kanton Bern
Grolley	Kanton Freiburg
Grône	Kanton Wallis
Grono	Kanton Graubünden
Grossaffoltern	Kanton Bern
Grossdietwil	Kanton Luzern
Grosshöchstetten	Kanton Bern
Grosswangen	Kanton Luzern
Grub	Kanton Appenzell Ausserrhoden
Grüningen	Kanton Zürich
Grüsch	Kanton Graubünden
Gruyères	Kanton Freiburg
Gryon	Kanton Waadt
Gsteig	Kanton Bern
Gsteigwiler	Kanton Bern
Guggisberg	Kanton Bern
Gündlischwand	Kanton Bern
Günsberg	Kanton Solothurn
Gunzgen	Kanton Solothurn
Gurbrü	Kanton Bern
Gurmels	Kanton Freiburg
Gurtnellen	Kanton Uri
Gurzelen	Kanton Bern
Guttannen	Kanton Bern
Guttet-Feschel	Kanton Wallis
Güttingen	Kanton Thurgau
Gy	Kanton Genf
Habkern	Kanton Bern
Habsburg	Kanton Aargau
Häfelfingen	Kanton Basel-Landschaft
Hagenbuch	Kanton Zürich
Hägendorf	Kanton Solothurn
Häggenschwil	Kanton St. Gallen
Hägglingen	Kanton Aargau
Hagneck	Kanton Bern
Haldenstein	Kanton Graubünden
Hallau	Kanton Schaffhausen
Hallwil	Kanton Aargau
Halten	Kanton Solothurn
Härkingen	Kanton Solothurn
Hasle	Kanton Luzern
Hasle bei Burgdorf	Kanton Bern
Hasliberg	Kanton Bern
