KANTON SCHWYZ	employs_vernacular_name	Dräckholterä
KANTON SCHWYZ	employs_vernacular_name	Holdärä
KANTON SCHWYZ	employs_vernacular_name	Räukholder
KANTON SCHWYZ	employs_vernacular_name	Dräckholder
KANTON SCHWYZ	employs_vernacular_name	Dräckhoderä
KANTON URI	employs_vernacular_name	Gurtnellen
KANTON TESSIN	employs_vernacular_name	Wachholder
KANTON THURGAU	employs_vernacular_name	Reckoldere
KANTON THURGAU	employs_vernacular_name	Reckolter
KANTON THURGAU	employs_vernacular_name	Reckholder
KANTON APPENZELL I.RH.	employs_vernacular_name	Reckholder
KANTON APPENZELL A.RH.	employs_vernacular_name	Reckolder
KANTON ST. GALLEN	employs_vernacular_name	Reggholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Rägholder
KANTON ST. GALLEN	employs_vernacular_name	Räggholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Räggholder
KANTON ST. GALLEN	employs_vernacular_name	Räggholder
KANTON ST. GALLEN	employs_vernacular_name	Räggholder
KANTON ST. GALLEN	employs_vernacular_name	Räggholder
KANTON ST. GALLEN	employs_vernacular_name	Räkholdar
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Reckholder
KANTON ST. GALLEN	employs_vernacular_name	Wachholder
KANTON GLARUS	employs_vernacular_name	Reckholder
KANTON GLARUS	employs_vernacular_name	Dräckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Räggholdera
KANTON GRAUBÜNDEN	employs_vernacular_name	Räggholdera
KANTON GRAUBÜNDEN	employs_vernacular_name	Dräckholdera
KANTON GRAUBÜNDEN	employs_vernacular_name	Reckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Räckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Räckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Räckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Räckholtera
KANTON GRAUBÜNDEN	employs_vernacular_name	Reckholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Wachholder
KANTON GRAUBÜNDEN	employs_vernacular_name	Reckholder
